date,place_value,placeLatitude,placeLongitude,topic,chi_squared
2014-12-28,192.0,46.3293,9.4055,davidebraccialetti,123261065.61367945
2014-12-29,22.0,46.2504,8.27646,switzerlandneedsotratour,33731885.16804044
2014-12-30,10.0,46.2219,6.18194,switzerlandneeds1dotrat,4787810.326706137
2014-12-31,34.0,47.3774,8.536760000000001,weneedotrainitaly2015,825372.25
2015-01-01,70.0,47.7218,7.2827399999999995,ilovesuperjunior,924482.25
2015-01-02,76.0,47.7218,7.2827399999999995,barısatayyalnızdeğildir,946800.6040375268
2015-01-03,21.0,45.8002,9.08382,울면안돼,195384.7610251313
2015-01-04,23.0,46.9543,7.39491,camilahammersledge,15252.25
2015-01-05,25.0,47.8188,7.95416,desafiofinal3,105373.70148716206
2015-01-06,20.0,46.2516,7.083810000000001,udineseroma,532207.1210544887
2015-01-07,39.0,46.2048,6.14319,charliehebdo,27768920.20991635
2015-01-08,4.0,46.3438,6.44015,jesuischarlie,308963.26914058556
2015-01-09,21.0,46.0678,8.65519,prisedotage,2198994.047875958
2015-01-10,10.0,45.8497,6.10093,fcmfcsm,799269.118495665
2015-01-11,18.0,46.5287,6.652080000000001,asknacks,2738399.7964948458
2015-01-12,49.0,47.3774,8.536760000000001,ballondor2014,247885.29974936915
2015-01-13,18.0,47.5596,7.583139999999999,stk2015,241208.93218049174
2015-01-14,21.0,46.2516,7.083810000000001,crc68,60133.26117477467
2015-01-15,12.0,45.8002,9.08382,cdd15,622271.8122847476
2015-01-16,238.0,47.0408,8.317210000000001,shawnsfirstheadlines,1473591.7539621089
2015-01-17,26.0,47.5596,7.583139999999999,britonedirection,4909293.278839723
2015-01-18,35.0,47.7551,6.32354,soul,19248.25793570071
2015-01-19,30.0,46.2363,6.1185,shawnsfirstheadlines,1161049.7480647499
2015-01-20,22.0,47.0922,7.36978,wef15,66718.51863398965
2015-01-21,56.0,46.765,9.81838,wef15,311945.2929446115
2015-01-22,21.0,47.3774,8.536760000000001,upr21,181958.90743221517
2015-01-23,143.0,46.765,9.81838,felizviernes,508228.4546043554
2015-01-24,4.0,46.5287,6.652080000000001,saindavos,254727.70580866362
2015-01-25,23.0,47.0442,9.88751,intertorino,272169.09324482834
2015-01-26,5.0,46.167,9.44616,isoladeifamosi,66705.38402299522
2015-01-27,4.0,47.3774,8.536760000000001,upr21,8534.472564979953
2015-01-28,31.0,46.5287,6.652080000000001,gro,325783.981223087
2015-01-29,24.0,45.8755,9.93648,frauentausch,7886.275919265648
2015-01-30,,,,jobs,673.2043696838906
2015-02-09,34.0,45.8314,8.806510000000001,swissleaks,104839.3280480258
2015-02-10,11.0,45.7567,9.85388,sanremo2015,7475919.41445002
2015-02-11,42.0,46.2048,6.14319,sanremo2015,152322.9719436652
2015-02-12,24.0,46.4927,10.4121,tvshowtime,256047.64605034122
2015-02-13,13.0,45.9109,8.61293,sanremo2015,45289.64603730764
2015-02-14,13.0,47.2584,9.20659,fcsmasnl,4212741.003355651
2015-02-15,35.0,47.4591,8.29025,brits2015,79446.6391452781
2015-02-16,27.0,47.3774,8.536760000000001,marcusmondays,5528580.779890978
2015-02-17,477.0,47.2081,7.17865,britritaora,2619629.617169271
2015-02-18,23.0,47.2081,7.17865,britritaora,412999.4404406306
2015-02-19,20.0,46.9543,7.39491,celticinter,623380.3489848528
2015-02-20,212.0,46.5615,6.577369999999999,handwritteninspirations,11737752.91211975
2015-02-21,7.0,47.7124,9.63176,expo2015ch,897771.4768956058
2015-02-22,148.0,46.9543,7.39491,muyprontograndirectioner3,937992.25
2015-02-23,18.0,45.8874,8.90255,frantasticmonday,2422916.1225894853
2015-02-24,21.0,46.9543,7.39491,gs15,139683.72962177006
2015-02-25,40.0,45.8234,7.5636399999999995,onedirectionbrit,645612.25
