date,1,2,3,4,5
2014-12-28,"('davidebraccialetti', 123261065.61367945)","('braccialettirossi', 1090408.4759098201)","('switzerlandneedsotrat', 3840.3278728453806)","('atamadafelsefeyiunutma', 1332.25)","('switzerland', 14.310981274630031)"
2014-12-29,"('switzerlandneedsotratour', 33731885.168040439)","('wewantotrainitaly2015', 59691.948014615453)","('yeniturkiyei̇nsasindafelsefe', 5852.25)","('switzerlandneedsotrat', 1447.4907518659709)","('nashschristmasskit', 1447.300469211865)"
2014-12-30,"('switzerlandneeds1dotrat', 4787810.3267061366)","('20thingsiwantfor2015', 1301800.3725766602)","('switzerlandneedsotratour', 469414.36452214647)","('neolieberswag', 17131.67488468088)","('hollywoodmusicawards', 12773.295797828736)"
2014-12-31,"('weneedotrainitaly2015', 825372.25)","('openrafahborder', 805625.18410325912)","('2015', 103923.94751935355)","('happynewyear', 35881.731805671974)","('20thingsiwantfor2015', 29640.744207429976)"
2015-01-01,"('ilovesuperjunior', 924482.25)","('ilovebts', 170625.6504743275)","('dmmedagi', 117581.10652550224)","('2015', 77109.746378452517)","('happynewyear', 14038.574809500005)"
2015-01-02,"('barısatayyalnızdeğildir', 946800.60403752676)","('ilovebts', 52264.399525310255)","('jaivotéaymeila', 9120.25)","('2015', 1226.5937499322545)","('lhcscb', 1122.25)"
2015-01-03,"('울면안돼', 195384.7610251313)","('비투비', 97671.88373821514)","('ekloges2015', 75544.249356207045)","('hollywoodmusicawards', 30122.882644095233)","('syriza', 29333.107974631519)"
2015-01-04,"('camilahammersledge', 15252.25)","('صلوات', 4769.5488924909232)","('askbrudis', 1406.25)","('gf38om', 1332.25)","('tatort', 408.63137539801573)"
2015-01-05,"('desafiofinal3', 105373.70148716206)","('asktaddl', 38145.536870419011)","('pinodaniele', 462.25)","('badeferien', 147.39149598398058)","('ferien', 140.5437732985144)"
2015-01-06,"('udineseroma', 532207.1210544887)","('ssdf3', 450826.25734877214)","('juveinter', 16359.474891438878)","('job', 23.520981391521403)","('controleurs', 19.171846704062286)"
2015-01-07,"('charliehebdo', 27768920.20991635)","('jesuischarlie', 287832.25)","('camfollowme', 90838.087307804497)","('muslimsarepeaceful', 89102.25)","('newcrawfordcollinsvid', 1806.25)"
2015-01-08,"('jesuischarlie', 308963.26914058556)","('noussommescharlie', 92175.998300371401)","('charliehebdo', 87403.62897446737)","('masterchefit', 937.74524873183668)","('respectformuslims', 812.25)"
2015-01-09,"('prisedotage', 2198994.047875958)","('happybirthdayninadobrev', 691556.37263128592)","('vincennes', 294124.58292099606)","('jesuischarlie', 32852.078368551396)","('charliehebdo', 19820.107343985437)"
2015-01-10,"('fcmfcsm', 799269.11849566502)","('etgsrfc', 97554.240874949552)","('jesuischarlie', 8576.7309720730409)","('charliehebdo', 2480.1777993783357)","('thevoice', 1462.6859445434332)"
2015-01-11,"('asknacks', 2738399.7964948458)","('marcherepublicaine', 2443898.1003942331)","('romalazio', 58587.978318712194)","('jesuischarlie', 57586.811736219344)","('napolijuve', 11481.38662062293)"
2015-01-12,"('ballondor2014', 247885.29974936915)","('ballondor', 51349.217342760967)","('balondeoro', 36528.52892169766)","('scherziaparte', 29671.372535642695)","('wradioméxico', 25771.012271495667)"
