,placeId,0,1,3,4,7,8,9,11,13,14,15,16,17,18,19,20,21,22,23,placeLatitude,placeLongitude
0,0391c91d9d088672,,,,,,,,,,"{'#winterclassic': 3, '#newyearrocks': 85, '#seaofblue': 1, '#sherlock': 1, '#hgtvnewyear': 1, '#amazing': 1}","{'#winterclassic': 1, '#newyearrocks': 50, '#seaofblue': 1, '#sherlock': 1, '#awesome': 1, '#sherlocklives': 1, '#2014': 1}","{'#winterclassic': 2, '#newyearrocks': 50, '#awesome': 1, '#sherlocklives': 1}","{'#winterclassic': 1, '#newyearrocks': 61, '#sherlocklives': 2}","{'#sherlock': 2, '#justloveit': 1, '#newyearrocks': 78, '#awesome': 2}","{'#justloveit': 2, '#newyearrocks': 36}",{'#newyearrocks': 11},,,{'#justloveit': 1},46.8569,6.99033
1,074e8e9c015cc007,,,,,,,,,,"{'#winterclassic': 2, '#newyearrocks': 70, '#awesome': 1, '#hgtvnewyear': 1}","{'#sherlock': 1, '#winterclassic': 3, '#newyearrocks': 54}","{'#winterclassic': 5, '#newyearrocks': 61, '#awesome': 1, '#nhl': 1}","{'#winterclassic': 2, '#newyearrocks': 62, '#nhl': 1, '#sherlock': 1, '#hgtvnewyear': 1, '#justloveit': 1}","{'#winterclassic': 3, '#newyearrocks': 97, '#nhl': 2, '#hgtvnewyear': 1, '#justloveit': 2, '#2014': 2, '#awesome': 2}","{'#winterclassic': 3, '#newyearrocks': 54, '#nhl': 1}",{'#newyearrocks': 21},,,,47.4467,9.03195
2,09280ddf24ad77bb,,,,,,,,,{'#justloveit': 1},"{'#winterclassic': 1, '#newyearrocks': 1}",,,,,,,,,,47.4033,7.935010000000001
3,0a0aeb70ec49aaa9,,,,,{'#happynewyear': 1},,,,,,,,,,,,,,,46.4843,6.67325
4,0a827ae5f74beb81,,,,,,,,,,"{'#winterclassic': 1, '#newyearrocks': 94, '#sherlock': 2, '#happynewyear': 2, '#2014': 2, '#amazing': 2, '#sherlocklives': 1}","{'#winterclassic': 2, '#happynewyear': 1, '#newyearrocks': 67, '#sherlocklives': 1, '#amazing': 1}","{'#winterclassic': 1, '#justloveit': 1, '#newyearrocks': 58, '#awesome': 3}","{'#winterclassic': 4, '#sherlocklives': 1, '#newyearrocks': 80, '#2014': 1, '#hgtvnewyear': 2}","{'#winterclassic': 3, '#newyearrocks': 104, '#nhl': 1, '#sherlock': 2, '#justloveit': 1, '#awesome': 1}","{'#winterclassic': 1, '#justloveit': 1, '#newyearrocks': 53, '#awesome': 1}","{'#newyearrocks': 20, '#sherlocklives': 1}",{'#justloveit': 2},,{'#justloveit': 1},47.3937,8.08986
5,103ec739a5cbb358,,,,,,,,,,"{'#winterclassic': 4, '#newyearrocks': 122, '#sherlocklives': 1, '#amazing': 1}","{'#winterclassic': 1, '#newyearrocks': 87, '#awesome': 1, '#amazing': 1}","{'#winterclassic': 1, '#newyearrocks': 74, '#seaofblue': 1, '#2014': 2, '#amazing': 1, '#awesome': 3}","{'#winterclassic': 3, '#newyearrocks': 70, '#awesome': 2, '#sherlocklives': 1}","{'#sherlocklives': 1, '#newyearrocks': 129, '#2014': 2, '#amazing': 1, '#awesome': 2}","{'#winterclassic': 3, '#newyearrocks': 63, '#awesome': 1}","{'#winterclassic': 3, '#newyearrocks': 42, '#amazing': 2}",,,,46.1867,6.97422
6,1067fd7acdcc5620,,,,,,,,,,{'#newyearrocks': 2},,,,,,,,,,47.4746,7.584339999999999
7,119b460e0978eced,,,,,,,,{'#2014': 1},,,,,,,,,,,,46.2687,10.5091
8,15c163bc6534619d,,,,,,,,,,,{'#2014': 1},,,,,{'#2014': 1},,,,46.01,7.3331
9,17f10b76bf7ce828,{'#seaofblue': 1},,,,,,,,,,,,,,,,,,,46.1609,7.11725
10,188500e451165649,,,,,,,,,,"{'#sherlock': 1, '#winterclassic': 2, '#justloveit': 1, '#newyearrocks': 90, '#2014': 1}","{'#sherlock': 1, '#newyearrocks': 48, '#2014': 1, '#sherlocklives': 1}","{'#justloveit': 1, '#newyearrocks': 68}","{'#winterclassic': 1, '#justloveit': 1, '#newyearrocks': 74, '#2014': 1}","{'#winterclassic': 2, '#justloveit': 2, '#newyearrocks': 99, '#amazing': 1}","{'#winterclassic': 2, '#newyearrocks': 43, '#sherlocklives': 1, '#nhl': 1}","{'#newyearrocks': 11, '#seaofblue': 1}",,{'#justloveit': 1},,46.9152,7.013
